Analista,CeCo,No. Economico,"M.O MEM","No.OMP","No.OC","Fecha de programación","Fecha de servicio",OT,"Horas Teoricas","Horas Reales",Observaciones,"Falta servicio",Ubicación ,Jefe de Taller,"Propietario Del equipo",Maquina,Marca,Modelo,SN / Placa
Lorena Perez,10082,MX11/0504,si,50258577,NA,1/25/2024,05/02/2024,188423,250,239,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930076
Lorena Perez,10082,MX11/0504,si,50276516,NA,4/11/2024,15/04/2024,232185,500,488,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930076
Lorena Perez,10082,MX11/0504,si,50290653,NA,5/30/2024,05/06/2024,96697,750,757,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930076
Lorena Perez,10082,MX11/0504,si,50308806,NA,8/1/2024,09/08/2024,147242,1000,1008,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930076
Lorena Perez,10082,MX11/0505,si,50252368,NA,1/13/2024,13/01/2024,96609,1750,1759,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930073
Lorena Perez,10082,MX11/0505,si,50258575,NA,1/25/2024,04/02/2024,96511,2000,2018,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930073
Lorena Perez,10082,MX11/0505,si,50270212,NA,3/14/2024,20/03/2024,141453,2250,2206,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUP930073
Lorena Perez,10082,MX11/0511,si,50252369,NA,1/13/2024,13/01/2024,96608,2250,2433,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50262077,NA,2/25/2024,20/02/2024,141049,2500,2675,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50298658,NA,3/3/2024,03/03/2024,NE,2750,0,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50280633,NA,4/25/2024,25/04/2024,231800,3000,2926,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50295743,NA,6/20/2024,22/06/2024,14641,3250,3184,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50305095,NA,7/25/2024,30/07/2024,147323,3500,3495,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50311871,NA,8/22/2024,24/08/2024,147197,3750,3777,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/0511,si,50319184,NA,9/12/2024,15/09/2024,347192,4000,4032,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Ana Zaragoza ,10082,MX11/0511,si,50326198,NA,10/3/2024,04/10/2024,347500,4250,4255,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Ana Zaragoza ,10082,MX11/0511,si,50345871,NA,10/24/2024,08/11/2024,347591,4500,4679,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Torre de Iluminación,ATLAS COPCO,HILIGHT V4,WUX928560
Lorena Perez,10082,MX11/A0209,no,50304017,NA,7/18/2024,23/07/2024,SN,5500,5674,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,QLTM10,WUX901729
Lorena Perez,10082,MX11/A1431,no,50317336,NA,8/29/2024,05/09/2024,11,6000,6069,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,WACKER NEUSON,LTV6K,WNCLTV02JPUM00660
Lorena Perez,10082,MX11/A1432,no,50317340,NA,8/29/2024,05/09/2024,7,1500,1643,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,WACKER NEUSON,LTV6K,WNCLTV02JPUM00626
Lorena Perez,10082,MX11/A1433,no,50303968,NA,7/18/2024,23/07/2024,SN,5250,5355,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916426
Lorena Perez,10082,MX11/A1433,no,50321371,NA,8/1/2024,01/08/2024,NE,5500,0,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916426
Lorena Perez,10082,MX11/A1433,no,50317111,NA,8/29/2024,05/09/2024,9,5750,5864,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916426
Ana Zaragoza ,10082,MX11/A1433,no,50326189,NA,10/3/2024,04/10/2024,E001,6000,6106,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916426
Lorena Perez,10082,MX11/A1434,no,50304318,NA,7/18/2024,23/07/2024,SN,8000,7928,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916521
Lorena Perez,10082,MX11/A1434,no,50317110,NA,8/29/2024,05/09/2024,8,8250,8381,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916521
Ana Zaragoza ,10082,MX11/A1434,no,50326197,NA,10/3/2024,04/10/2024,E001,8500,8716,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916521
Ana Zaragoza ,10082,MX11/A1434,no,50369224,NA,11/28/2024,28/11/2024,NE,8750,0,No realizado por proveedor,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916521
Ana Zaragoza ,10082,MX11/A1434,si,50369225,NA,12/5/2024,07/12/2024,345754,9000,8997,KIT proveedor; Aceite y MO MEM,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX916521
Lorena Perez,10082,MX11/A1435,no,50304030,NA,7/18/2024,23/07/2024,SN,6750,6831,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Lorena Perez,10082,MX11/A1435,no,50321372,NA,8/1/2024,01/08/2024,NE,7000,0,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Lorena Perez,10082,MX11/A1435,no,50317114,NA,8/29/2024,05/09/2024,10,7250,7330,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Ana Zaragoza ,10082,MX11/A1435,no,50326188,NA,10/3/2024,04/10/2024,E001,7500,7664,*,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Ana Zaragoza ,10082,MX11/A1435,si,50345872,NA,10/24/2024,24/10/2024,NE,7750,0,No realizado por proveedor,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Ana Zaragoza ,10082,MX11/A1435,si,50362765,NA,11/7/2024,01/12/2024,345738,8000,8213,KIT proveedor; Aceite y MO MEM,no,Autopista Cuap-Cuac,Miguel miranda,GEKO,Torre de Iluminación,ATLAS COPCO,HILIGHT V5,WUX913413
Lorena Perez,10082,MX20/0175,si,50252370,NA,1/14/2024,14/01/2024,188131,8250,8250,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50262075,NA,2/15/2024,21/02/2024,231956,8500,8523,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50270222,NA,3/14/2024,20/03/2024,231944,8750,8748,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50279974,NA,4/25/2024,27/04/2024,96882,9000,9069,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50287088,NA,5/16/2024,22/05/2024,9310,9250,9310,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50295284,NA,6/20/2024,23/06/2024,146944,9500,9594,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50301345,NA,7/11/2024,16/07/2024,147140,9750,9760,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
Lorena Perez,10082,MX20/0175,si,50308892,NA,8/8/2024,10/08/2024,147187,10000,9985,*,no,Autopista Cuap-Cuac,Miguel miranda,MEM,Excavadora de Orugas - 35 T,VOLVO,EC350DL,VCEC350DK00271033
