No.Economico,Hr Trabajadas,No.de Mttos,Desvio
MX11/A1038,2899,13,0.0
MX11/A0535,-39,1,0.0
MX910/0014,134,2,0.0
MX11/0626,0,1,0.0
MX11/0189,286,1,14.4
MX120/0066,4947,10,97.9
MX31/A0040,2401,10,0.0
MX20/A0472,59,1,0.0
MX20/0151,2759,7,57.7
MX96/A0427,2050,4,105.0
MX34/A0137,4904,7,180.2
MX13/0051,933,4,0.0
MX120/0067,1059,3,41.2
MX11/1272,3582,14,2.3
MX23/A0357,1441,4,44.1
MX11/A1151,516,2,3.2
MX20/0155,2340,5,87.2
MX380/A088,685,3,0.0
MX11/A1311,6,1,0.0
MX40/A0129,2090,9,0.0
MX11/A1386,2133,7,21.9
MX20/A0435,621,4,0.0
MX31/A0073,802,4,0.0
MX20/0291,3896,11,41.7
MX37/A0025,658,3,0.0
MX11/1376,-19,1,0.0
MX23/A0148,2219,5,77.5
MX12/A0276,832,3,10.9
MX910/0166,53,1,0.0
MX44/A0249,1390,3,85.3
MX23/A0281,603,3,0.0
MX32/A0156,30,1,0.0
MX37/A0064,1262,4,26.2
MX380/A067,-12,1,0.0
MX11/A1241,288,2,0.0
MX20/A0471,303,2,0.0
MX370/A037,661,3,0.0
MX11/0513,3842,13,18.2
MX11/0250,3395,13,4.5
MX11/A0237,-3,1,0.0
MX11/A0138,331,2,0.0
MX31/0021,1845,7,5.4
MX370/0067,490,2,0.0
MX11/A1442,4658,8,132.9
MX910/0159,191,2,0.0
MX11/1109,759,3,1.2
MX37/A0017,447,3,0.0
MX11/0612,2704,8,35.2
MX20/0183,2014,5,61.1
MX34/A0128,-93,1,0.0
MX96/A0408,2056,5,64.5
MX11/1103,780,4,0.0
MX13/0001,167,2,0.0
MX11/0256,795,4,0.0
MX910/0072,56,2,0.0
MX31/A0039,2792,11,1.5
MX11/A0993,1338,4,33.8
MX96/A0232,452,2,0.0
MX23/0094,2996,10,19.8
MX11/A1315,2152,6,43.5
MX11/0662,21,1,0.0
MX11/A0765,2155,6,43.7
MX96/A0450,966,3,28.8
MX11/A0446,99,1,0.0
MX910/A058,888,3,18.4
MX13/A0014,492,3,0.0
MX11/A0386,355,2,0.0
MX910/0105,1211,7,0.0
MX380/A127,967,4,0.0
MX20/0178,4104,14,17.3
MX11/0620,5731,23,0.0
MX23/A0242,41,1,0.0
MX23/0087,1910,9,0.0
MX11/A0470,470,2,0.0
MX120/0046,7709,15,105.6
MX44/A0274,70,2,0.0
MX120/A075,397,2,0.0
MX23/A0344,1614,7,0.0
